game_id,player_count,seat,character,score,is_winner,total_steps
169,2,1,hemat,14,0,52
170,2,0,rakus,0,0,41
170,2,1,pendingin,78,1,41
171,2,0,rakus,5,0,32
171,2,1,kompor,10,1,32
172,2,0,hemat,10,1,55
172,2,1,pendingin,0,0,55
173,2,0,rakus,0,0.5,54
173,2,1,hemat,0,0.5,54
174,2,0,baja,20,1,51
174,2,1,pendingin,10,0,51
175,2,0,baja,29,1,54
175,2,1,hemat,5,0,54
176,2,0,rakus,5,0,49
176,2,1,perisai,84,1,49
177,2,0,rakus,7,1,39
177,2,1,kompor,0,0,39
178,2,0,pendingin,10,1,45
178,2,1,baja,8,0,45
179,2,0,hemat,0,0,41
179,2,1,rakus,5,1,41
180,2,0,baja,0,0.5,57
180,2,1,hemat,0,0.5,57
181,2,0,kompor,15,1,33
181,2,1,perisai,10,0,33
182,2,0,hemat,0,0,57
182,2,1,baja,6,1,57
183,2,0,hemat,0,0.5,51
183,2,1,kompor,0,0.5,51
184,2,0,baja,17,1,45
184,2,1,rakus,6,0,45
185,2,0,hemat,0,0,57
185,2,1,perisai,33,1,57
186,2,0,kompor,5,0,39
186,2,1,baja,11,1,39
187,2,0,kompor,97,1,52
187,2,1,hemat,5,0,52
188,2,0,rakus,10,0.5,36
188,2,1,pendingin,10,0.5,36
189,2,0,baja,17,1,47
189,2,1,perisai,14,0,47
190,2,0,perisai,5,1,46
190,2,1,kompor,0,0,46
191,2,0,pendingin,8,1,43
191,2,1,rakus,0,0,43
192,2,0,hemat,5,1,51
192,2,1,perisai,0,0,51
193,2,0,rakus,0,0,42
193,2,1,perisai,5,1,42
194,2,0,rakus,0,0,37
194,2,1,pendingin,14,1,37
195,2,0,kompor,10,0,39
195,2,1,rakus,108,1,39
196,2,0,pendingin,5,0,42
196,2,1,baja,6,1,42
197,2,0,baja,1,1,49
197,2,1,pendingin,0,0,49
198,2,0,pendingin,10,1,50
198,2,1,hemat,0,0,50
199,2,0,pendingin,10,1,39
199,2,1,rakus,0,0,39
200,2,0,hemat,0,0.5,49
200,2,1,kompor,0,0.5,49
201,2,0,baja,15,1,64
201,2,1,hemat,6,0,64
202,2,0,pendingin,5,1,42
202,2,1,rakus,0,0,42
203,2,0,kompor,5,0,44
203,2,1,baja,15,1,44
204,2,0,hemat,5,0,55
204,2,1,rakus,53,1,55
205,2,0,pendingin,5,0,47
205,2,1,baja,12,1,47
206,2,0,baja,13,1,59
206,2,1,hemat,6,0,59
207,2,0,perisai,0,0,41
207,2,1,rakus,91,1,41
208,2,0,pendingin,5,0,44
208,2,1,kompor,7,1,44
209,2,0,rakus,10,0,45
209,2,1,baja,24,1,45
210,2,0,rakus,0,0,45
210,2,1,hemat,10,1,45
211,2,0,baja,0,0,47
211,2,1,pendingin,20,1,47
212,2,0,hemat,5,1,54
212,2,1,kompor,0,0,54
213,2,0,perisai,0,0,41
213,2,1,kompor,31,1,41
214,2,0,perisai,0,0.5,47
